Cinéma,Adresse du cinéma,Salle,CNC,Capacité,Équipement,Format de projection,Nom contact,Email,Téléphone
Grand Ecran Ester,"260, rue Aristide Briand - 87000 Limoges",11,228380,83,Numérique,Numérique 2D,Fridemann Michel,m.fridemann@grandecran.fr,
Grand Ecran Ester,"260, rue Aristide Briand - 87000 Limoges",12,228381,142,Numérique,Numérique 2D,Fridemann Michel,m.fridemann@grandecran.fr,
Grand Ecran Ester,"260, rue Aristide Briand - 87000 Limoges",13,228382,83,Numérique,Numérique 2D,Fridemann Michel,m.fridemann@grandecran.fr,
Grand Ecran Ester,"260, rue Aristide Briand - 87000 Limoges",14,228383,142,Numérique,Numérique 2D,Fridemann Michel,m.fridemann@grandecran.fr,
Rocamadour (Le),"4 bis, rue du Roz - 29570 Camaret-sur-Mer",1,082762,200,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Trèfle (Le),Zone de loisirs - 67120 Dorlisheim,1,141410,432,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Trèfle (Le),Zone de loisirs - 67120 Dorlisheim,2,141411,302,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Trèfle (Le),Zone de loisirs - 67120 Dorlisheim,3,141412,223,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Trèfle (Le),Zone de loisirs - 67120 Dorlisheim,4,141413,115,35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Trèfle (Le),Zone de loisirs - 67120 Dorlisheim,5,141414,115,35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Trèfle (Le),Zone de loisirs - 67120 Dorlisheim,6,141415,115,35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Trèfle (Le),Zone de loisirs - 67120 Dorlisheim,7,141416,115,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Trèfle (Le),Zone de loisirs - 67120 Dorlisheim,8,141419,79,Numérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Trèfle (Le),Zone de loisirs - 67120 Dorlisheim,9,723280,79,Numérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Trèfle (Le),Zone de loisirs - 67120 Dorlisheim,10,723281,79,Numérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Trèfle (Le),Zone de loisirs - 67120 Dorlisheim,11,141417,75,35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Trèfle (Le),Zone de loisirs - 67120 Dorlisheim,12,141418,156,35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Trèfle (Le),Zone de loisirs - 67120 Dorlisheim,14,723282,156,3DNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Even (L'),"18, rue Alsace-Lorraine - boîte postale 47 - 29260 Lesneven",1,223593,340,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Tourneurs de Côte d'Or (Les) (UDMJC),"2, rue de Bourges - 21021 Dijon",1,318612,50,35mmNumérique,Numérique 2D,Tiphaine URBANETTA,lestourneurs21@orange.fr,
Tourneurs de Côte d'Or (Les) (UDMJC),"2, rue de Bourges - 21021 Dijon",2,,,35mmNumérique,,Tiphaine URBANETTA,lestourneurs21@orange.fr,
Tourneurs de Côte d'Or (Les) (UDMJC),"2, rue de Bourges - 21021 Dijon",3,,,35mmNumérique,,Tiphaine URBANETTA,lestourneurs21@orange.fr,
MEGARAMA Duplexe,"47, Grande Rue - 59100 Roubaix",1,344352,424,3DNumérique,Numérique 2D,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
MEGARAMA Duplexe,"47, Grande Rue - 59100 Roubaix",2,344353,237,35mmNumérique,Numérique 2D,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
MEGARAMA Duplexe,"47, Grande Rue - 59100 Roubaix",3,344354,114,35mmNumérique,Numérique 2D,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
MEGARAMA Duplexe,"47, Grande Rue - 59100 Roubaix",4,344355,140,35mmNumérique,Numérique 2D,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
MEGARAMA Duplexe,"47, Grande Rue - 59100 Roubaix",5,344356,98,35mmNumérique,Numérique 2D,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
MEGARAMA Duplexe,"47, Grande Rue - 59100 Roubaix",7,344359,114,3D35mmNumérique,Numérique 2D,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
MEGARAMA Duplexe,"47, Grande Rue - 59100 Roubaix",8,344358,199,3D35mmNumérique,Numérique 2D,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
MEGARAMA Duplexe,"47, Grande Rue - 59100 Roubaix",9,344360,140,35mmNumérique,Numérique 2D,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
Agora,"5, place de la Résistance - BP 89 - 29150 Châteaulin",1,104391,194,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Cube (Le) - Ile Bouchard,"14, route de Chinon - 37220 Panzoult",1,200262,179,3D35mmNumérique,Numérique 2D,Michel Martinez,cine-off@numericable.fr,
Balise (La),"39, rue Louis Pasteur - 29100 Douarnenez",1,141712,250,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Balise (La),"39, rue Louis Pasteur - 29100 Douarnenez",2,141722,114,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Pathé Docks Vauban,Centre commercial Les Docks - Quai des Antilles - 76600 Le Havre,1,193373,143,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Docks Vauban,Centre commercial Les Docks - Quai des Antilles - 76600 Le Havre,2,193374,143,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Docks Vauban,Centre commercial Les Docks - Quai des Antilles - 76600 Le Havre,3,193375,143,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Docks Vauban,Centre commercial Les Docks - Quai des Antilles - 76600 Le Havre,4,193376,143,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Docks Vauban,Centre commercial Les Docks - Quai des Antilles - 76600 Le Havre,5,193377,143,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Docks Vauban,Centre commercial Les Docks - Quai des Antilles - 76600 Le Havre,6,193378,143,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Docks Vauban,Centre commercial Les Docks - Quai des Antilles - 76600 Le Havre,7,193379,195,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Docks Vauban,Centre commercial Les Docks - Quai des Antilles - 76600 Le Havre,8,193380,104,3D35mmNumérique4DX,4DX 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Docks Vauban,Centre commercial Les Docks - Quai des Antilles - 76600 Le Havre,9,193381,175,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Docks Vauban,Centre commercial Les Docks - Quai des Antilles - 76600 Le Havre,10,193382,218,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Docks Vauban,Centre commercial Les Docks - Quai des Antilles - 76600 Le Havre,11,193383,181,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Docks Vauban,Centre commercial Les Docks - Quai des Antilles - 76600 Le Havre,12,193384,435,3D35mmNumériqueAtmos,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Prado (Le),"36, av. du Prado - 13006 Marseille",1,249441,134,35mmNumérique,Numérique 2D,Thierry Blanchard,cineprofilms@gmail.com,
Prado (Le),"36, av. du Prado - 13006 Marseille",2,249442,73,35mmNumérique,Numérique 2D,Thierry Blanchard,cineprofilms@gmail.com,
Prado (Le),"36, av. du Prado - 13006 Marseille",3,249443,68,35mmNumérique,Numérique 2D,Thierry Blanchard,cineprofilms@gmail.com,
Prado (Le),"36, av. du Prado - 13006 Marseille",4,249444,71,35mmNumérique,Numérique 2D,Thierry Blanchard,cineprofilms@gmail.com,
Prado (Le),"36, av. du Prado - 13006 Marseille",5,249445,84,3D35mmNumérique,Numérique 2D,Thierry Blanchard,cineprofilms@gmail.com,
Prado (Le),"36, av. du Prado - 13006 Marseille",6,249446,168,3D35mmNumérique,Numérique 2D,Thierry Blanchard,cineprofilms@gmail.com,
Prado (Le),"36, av. du Prado - 13006 Marseille",7,249691,339,3D35mmNumérique,Numérique 2D,Thierry Blanchard,cineprofilms@gmail.com,
Prado (Le),"36, av. du Prado - 13006 Marseille",8,249693,75,35mmNumérique,Numérique 2D,Thierry Blanchard,cineprofilms@gmail.com,
Prado (Le),"36, av. du Prado - 13006 Marseille",9,249692,187,3D35mmNumérique,Numérique 2D,Thierry Blanchard,cineprofilms@gmail.com,
Prado (Le),"36, av. du Prado - 13006 Marseille",10,249694,70,35mmNumérique,Numérique 2D,Thierry Blanchard,cineprofilms@gmail.com,
Prado (Le),"36, av. du Prado - 13006 Marseille",11,249695,164,35mmNumérique,Numérique 2D,Thierry Blanchard,cineprofilms@gmail.com,
Ciné Palace,"50, rue Saint-Michel - BP 115 - 88003 Epinal",1,148227,448,35mmNumérique,Numérique 2D,Arnaud Toussaint,arnaud.toussaint@epinal.fr,
Ciné Palace,"50, rue Saint-Michel - BP 115 - 88003 Epinal",2,148228,348,3D35mmNumérique,Numérique 2D,Arnaud Toussaint,arnaud.toussaint@epinal.fr,
Ciné Palace,"50, rue Saint-Michel - BP 115 - 88003 Epinal",3,148229,267,3D35mmNumérique,Numérique 2D,Arnaud Toussaint,arnaud.toussaint@epinal.fr,
Ciné Palace,"50, rue Saint-Michel - BP 115 - 88003 Epinal",4,148230,177,3D35mmNumérique,Numérique 2D,Arnaud Toussaint,arnaud.toussaint@epinal.fr,
Ciné Palace,"50, rue Saint-Michel - BP 115 - 88003 Epinal",5,148231,90,3D35mmNumérique,Numérique 2D,Arnaud Toussaint,arnaud.toussaint@epinal.fr,
Ciné Palace,"50, rue Saint-Michel - BP 115 - 88003 Epinal",6,148232,90,3D35mmNumérique,Numérique 2D,Arnaud Toussaint,arnaud.toussaint@epinal.fr,
Ciné Palace,"50, rue Saint-Michel - BP 115 - 88003 Epinal",7,148233,90,3D35mmNumérique,Numérique 2D,Arnaud Toussaint,arnaud.toussaint@epinal.fr,
Ciné Palace,"50, rue Saint-Michel - BP 115 - 88003 Epinal",8,148234,90,3D35mmNumérique,Numérique 2D,Arnaud Toussaint,arnaud.toussaint@epinal.fr,
Centre Culturel Wladimir d’Ormesson,"14-22, av. Wladimir d'Ormesson - 94490 Ormesson-sur-Marne",1,299122,358,35mmNumérique,Numérique 2D,Isabelle,,
Pathé Annecy,"7, av. de Brogny - 74000 Annecy",1,019901,426,3D35mmNumériqueAtmos,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Annecy,"7, av. de Brogny - 74000 Annecy",2,019902,315,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Annecy,"7, av. de Brogny - 74000 Annecy",3,019905,180,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Annecy,"7, av. de Brogny - 74000 Annecy",4,019904,163,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Annecy,"7, av. de Brogny - 74000 Annecy",5,019956,136,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Annecy,"7, av. de Brogny - 74000 Annecy",6,019916,132,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Annecy,"7, av. de Brogny - 74000 Annecy",7,019903,179,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Annecy,"7, av. de Brogny - 74000 Annecy",8,019955,173,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Annecy,"7, av. de Brogny - 74000 Annecy",9,019906,82,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Annecy,"7, av. de Brogny - 74000 Annecy",10,019910,97,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Tournée Carcès Ciné 83,"68, avenue Victor Agostini - 83000 Toulon",1-puget,327092,100,35mmNumérique,Numérique 2D,Jean-Marie Borello,cine83@laligue83.org,
Cinéland,"1, rue Jacques Tati - 22950 Trégueux",1,433570,460,3D35mmNumérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Cinéland,"1, rue Jacques Tati - 22950 Trégueux",2,433571,312,3D35mmNumérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Cinéland,"1, rue Jacques Tati - 22950 Trégueux",2 Atmos,,,Numérique,,,Aurélie Saget,asaget@cinediffusion.fr
Cinéland,"1, rue Jacques Tati - 22950 Trégueux",3,433572,202,3D35mmNumérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Cinéland,"1, rue Jacques Tati - 22950 Trégueux",4,433573,136,3D35mmNumérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Cinéland,"1, rue Jacques Tati - 22950 Trégueux",5,433574,121,3D35mmNumérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Cinéland,"1, rue Jacques Tati - 22950 Trégueux",6,433575,85,3D35mmNumérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Cinéland,"1, rue Jacques Tati - 22950 Trégueux",7,433576,96,3D35mmNumérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Cinéland,"1, rue Jacques Tati - 22950 Trégueux",8,433577,96,3D35mmNumérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Cinéland,"1, rue Jacques Tati - 22950 Trégueux",9,433578,96,3D35mmNumérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Cinéland,"1, rue Jacques Tati - 22950 Trégueux",10,433579,583,Numérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Cinéland,"1, rue Jacques Tati - 22950 Trégueux",10b,,,Numérique,,,Aurélie Saget,asaget@cinediffusion.fr
Celtic (Le),"1, rue de la Libération - 56150 Baud",1,041781,255,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Etablissement Château de La Buzine,"56, traverse de la Buzine - 13011 Marseille",1,250410,345,35mmNumérique,Numérique 2D,Emilien PERDEREAU,eperdereau@marseille.fr,
Cinefol 31 - ligue de l'Enseignement Haute Garonne,"95, Grande rue Saint-Michel - 31400 Toulouse",1,431351,300,35mmNumérique,Numérique 2D,Pierre-Alexandre Nicaise,pan@cinefol31.org,
Cinefol 31 - ligue de l'Enseignement Haute Garonne,"95, Grande rue Saint-Michel - 31400 Toulouse",2,052689,,35mmNumérique,,Pierre-Alexandre Nicaise,pan@cinefol31.org,
Cinefol 31 - ligue de l'Enseignement Haute Garonne,"95, Grande rue Saint-Michel - 31400 Toulouse",3,,,35mmNumérique,,Pierre-Alexandre Nicaise,pan@cinefol31.org,
Cinefol 31 - ligue de l'Enseignement Haute Garonne,"95, Grande rue Saint-Michel - 31400 Toulouse",4,,,35mmNumérique,,Pierre-Alexandre Nicaise,pan@cinefol31.org,
Cinefol 31 - ligue de l'Enseignement Haute Garonne,"95, Grande rue Saint-Michel - 31400 Toulouse",5,,,35mmNumérique,,Pierre-Alexandre Nicaise,pan@cinefol31.org,
Cinefol 31 - ligue de l'Enseignement Haute Garonne,"95, Grande rue Saint-Michel - 31400 Toulouse",6,,,Numérique,,Pierre-Alexandre Nicaise,pan@cinefol31.org,
Cinefol 31 - ligue de l'Enseignement Haute Garonne,"95, Grande rue Saint-Michel - 31400 Toulouse",7,,,Numérique,,Pierre-Alexandre Nicaise,pan@cinefol31.org,
Cinefol 31 - ligue de l'Enseignement Haute Garonne,"95, Grande rue Saint-Michel - 31400 Toulouse",8,,,Numérique,,Pierre-Alexandre Nicaise,pan@cinefol31.org,
Cinefol 31 - ligue de l'Enseignement Haute Garonne,"95, Grande rue Saint-Michel - 31400 Toulouse",9,,,Numérique,,Pierre-Alexandre Nicaise,pan@cinefol31.org,
Cinefol 31 - ligue de l'Enseignement Haute Garonne,"95, Grande rue Saint-Michel - 31400 Toulouse",10,,,Numérique,,Pierre-Alexandre Nicaise,pan@cinefol31.org,
Cinefol 31 - ligue de l'Enseignement Haute Garonne,"95, Grande rue Saint-Michel - 31400 Toulouse",11,,,Numérique,,Pierre-Alexandre Nicaise,pan@cinefol31.org,
Cinefol 31 - ligue de l'Enseignement Haute Garonne,"95, Grande rue Saint-Michel - 31400 Toulouse",12,,,Numérique,,Pierre-Alexandre Nicaise,pan@cinefol31.org,
Cinefol 31 - ligue de l'Enseignement Haute Garonne,"95, Grande rue Saint-Michel - 31400 Toulouse",14,,,Numérique,,Pierre-Alexandre Nicaise,pan@cinefol31.org,
Cinefol 31 - ligue de l'Enseignement Haute Garonne,"95, Grande rue Saint-Michel - 31400 Toulouse",15,,,Numérique,,Pierre-Alexandre Nicaise,pan@cinefol31.org,
Tournée Génériques,2 rue Colbert - 14000 Caen,1_Conde_sur_vire,119122,340,35mmNumérique,Numérique 2D,,Jean-Marie Groult,programmation@laliguenormandie.org
Tournée Génériques,2 rue Colbert - 14000 Caen,2,142522,200,35mmNumérique,Numérique 2D,,Jean-Marie Groult,programmation@laliguenormandie.org
Tournée Génériques,2 rue Colbert - 14000 Caen,3_Trevieres_2,,,35mmNumérique,,,Jean-Marie Groult,programmation@laliguenormandie.org
Tournée Génériques,2 rue Colbert - 14000 Caen,4,,,Numérique,,,Jean-Marie Groult,programmation@laliguenormandie.org
Tournée Sainte Hélène VOG,40 avenue Boucicaut - 33240 Le Porge,2_Marcheprime_Lacaravelle,239148,,35mmNumérique,,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Tournée Sainte Hélène VOG,40 avenue Boucicaut - 33240 Le Porge,4_Lacanau,,,Numérique,,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Tournée Sainte Hélène VOG,40 avenue Boucicaut - 33240 Le Porge,5_mobile,,,Numérique,,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Tournée Quercimages,Leygue - 82190 Saint-Nazaire-de-Valentane,1,407140,0,35mmNumérique,Numérique 2D,Marc Vacquié,,
Tournée Quercimages,Leygue - 82190 Saint-Nazaire-de-Valentane,2,,,Numérique,,Marc Vacquié,,
Pôle culturel,Place Malherbe - 83470 Saint-Maximin-la-Sainte-Beaume,1,,,Numérique,,Sébastien Tacquet,sebastien.tacquet@cineazur.fr,
Grand Mercure,Square Raoul Grimon Sanson - 76500 Elbeuf,1,146393,469,3D35mmNumérique,Numérique 2D,Jonathan Lelièvre,jonathan@noecinemas.com,
Grand Mercure,Square Raoul Grimon Sanson - 76500 Elbeuf,2,146402,187,3D35mmNumérique,Numérique 2D,Jonathan Lelièvre,jonathan@noecinemas.com,
Grand Mercure,Square Raoul Grimon Sanson - 76500 Elbeuf,3,146403,157,35mmNumérique,Numérique 2D,Jonathan Lelièvre,jonathan@noecinemas.com,
Grand Mercure,Square Raoul Grimon Sanson - 76500 Elbeuf,4,146404,60,3D35mmNumérique,Numérique 2D,Jonathan Lelièvre,jonathan@noecinemas.com,
Grand Mercure,Square Raoul Grimon Sanson - 76500 Elbeuf,5,146405,84,35mmNumérique,Numérique 2D,Jonathan Lelièvre,jonathan@noecinemas.com,
CinéToile,"2, rue des Colombes - 91610 Ballancourt-sur-Essonne",1,037350,189,3DNumérique,Numérique 2D,Olivier Défossé,olivierdefosse@orange.fr,
Cinéligue Champagne-Ardennes,"23, rue Alphonse Daudet - BP 2187 - 51081 Reims",1,282092,200,35mmNumérique,Numérique 2D,Antoine Mularczuk,cineligue.ca@wanadoo.fr,
Cinéligue Champagne-Ardennes,"23, rue Alphonse Daudet - BP 2187 - 51081 Reims",2,,,Numérique,,Antoine Mularczuk,cineligue.ca@wanadoo.fr,
Cinéligue Champagne-Ardennes,"23, rue Alphonse Daudet - BP 2187 - 51081 Reims",3,,,35mmNumérique,,Antoine Mularczuk,cineligue.ca@wanadoo.fr,
Villa Arson,"20, av. Stephen Liégeard - 06100 Nice",1,290387,,Numérique,,Estelle Mace,estellemace@leclat.org,
Oron (L'),"2, av. Louis-Michel Villaz - 38270 Beaurepaire",1,045602,213,35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Oron (L'),"2, av. Louis-Michel Villaz - 38270 Beaurepaire",2,045603,136,35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Tournée Pouilly sur Loire 58,"6, place Mossé - 58000 Nevers",1,322721,300,3D35mmNumérique,Numérique 2D,Lucile Foujanet,miniplexes@sceniquanon.com,
Tournée Pouilly sur Loire 58,"6, place Mossé - 58000 Nevers",2,,,Numérique,,Lucile Foujanet,miniplexes@sceniquanon.com,
Tournée Pouilly sur Loire 58,"6, place Mossé - 58000 Nevers",3,,,Numérique,,Lucile Foujanet,miniplexes@sceniquanon.com,
Cinémobile - Ciclic,"17, rue de la bâtardière - 45140 Saint-Jean-de-la-Ruelle",1-Yves_Montant,025722,100,Numérique,Numérique 2D,Coordinatrice programmation,Sophie Lerpscher,sophie.lerpscher@ciclic.fr
